Maximum,Minimum,Average,Stdev,Skew,QThreshold
65535,0,8428.405165010428,3229.556857917312,4.080565847493127,25000
65535,0,9288.015580910318,3191.091605172738,2.3867254782655496,24000
65535,0,17539.08456439394,5682.120150463838,2.722238213359764,40000
65535,0,21739.68076923077,10393.788520462196,2.19541935478189,47000
65535,0,16504.807315668204,6397.929915613037,1.550064464059092,45000
65535,0,8005.208910972069,3078.84339681945,2.7136807341626437,32000
65535,0,19883.777060642733,5675.1066342155345,1.3971330160549593,46000
65535,0,7862.353903406535,2900.84993697725,5.9693754920623245,30000
65535,0,27992.671596970104,7409.485880815797,0.4693756193232551,47000
65535,0,16051.283132530121,6267.213739246061,2.443814862505385,42000
65535,0,17021.3064516129,6617.365728077064,1.9053806159080104,47000
65535,0,15555.145166029974,5642.657973088575,2.690883949797917,46000
65535,0,20768.404285714285,9110.398086200903,1.5900062379588642,48000
65535,0,3162.3054268436345,6303.5401751762365,2.767423546287677,39000
65535,0,11792.007741935484,6316.36055852707,2.9011599015754386,30000
65535,0,18075.842234848486,5425.991028450918,1.6981251798308346,39000
65535,0,22389.289204545454,6534.012556646472,1.2321382504151595,42000
65535,0,20645.7786578341,7279.48327929111,0.6308782606587168,43000
65535,0,20596.86076923077,9260.261119530964,1.6535366457705163,42000
65535,0,10036.279285714285,5902.6425247087,4.733898500944256,34000
65535,0,4137.3225477106735,7895.589456811776,2.0261874667772677,40000
65535,0,3697.922170737454,7249.5718350828365,2.4107414240694243,44000
65535,0,19395.630989198155,6444.271772797818,3.153056354098495,60000
65534,0,17596.08484848485,5344.53467324168,2.0596456257394546,49000
65535,0,22448.14769230769,10545.873069435671,2.110935359336326,63000
65535,0,16558.77299441669,6214.30207635981,2.6525168444339315,49000
65535,0,12035.334764650554,4223.965067072742,2.4040133375101993,30000
65534,0,15968.54478686636,6401.657518387653,1.3438875123557534,50000
65535,0,3739.3462656090474,7280.462446487996,2.267510740295401,48000
65534,0,9192.947142857143,5869.794021732217,5.204076101440575,36000
65535,0,10773.631428571429,6913.329298630144,4.111898102336759,36000
65535,0,16361.154665898617,6720.292271320166,1.8625183634226374,43000
65535,0,19371.322128098247,6431.153073254955,3.1772979418058442,53000
65535,0,12362.416559139785,7866.456875903979,3.6162285747644485,32000
65535,0,13971.867176021158,5403.159642870863,3.167597929617023,42000
65535,0,13438.142080517191,5290.738037414796,3.644605480604105,39000
65535,0,17944.25460829493,6765.532541873668,0.7014631378136459,41900
65535,0,16810.406970046082,6584.090978855253,1.8598307657420983,43000
65535,0,10626.911053858423,4152.04187606852,2.143798077683639,30000
65535,0,25893.672807135492,6949.298049334917,0.4319946025196159,46000
65534,0,22117.0372983871,7617.920201021603,0.5358923752252652,44000
65535,0,13732.50935483871,6095.823544441411,1.8836263180826665,36000
65535,0,11976.79440860215,6575.686446287013,2.992143455350135,38000
65535,0,4984.584858242362,9374.908274907433,1.8305201314646984,42000
65535,0,25818.420151494778,7188.466000855322,0.628406637235956,46000
65535,0,5387.712243776015,9956.70039327316,1.6779967098136046,42000
65535,0,20912.806666666667,8759.51017170842,1.4938971264747125,39000
65534,0,3732.8213135985197,3298.8289806470457,9.524413985138377,25000
65535,0,25916.29706439394,7526.00959304548,0.8835131178585719,47000
65535,0,16151.896169354839,6580.960933780404,0.7666192007141477,37000
65535,0,4944.118982172308,9240.62432899068,1.7762160541823517,39000
65535,0,38408.48261020479,5199.106775584511,-4.752493564129035,45000
